,poster,MovieName,Rating,Director
21,"https://m.media-amazon.com/images/M/MV5BOGVjYmM0ZWEtNTFjNi00MWZjLTk3OTItMmFjMDAzZWU1ZDVjXkEyXkFqcGdeQXVyMTI2Mzk1ODg0._V1_QL75_UX48_CR0,4,48,71_.jpg",Soorarai Pottru,8.7,Sudha Kongara
22,"https://m.media-amazon.com/images/M/MV5BOGM2YzI4ZjItYjA4Mi00ZDhiLTk1OGEtZmEzN2U3ODNkNTEzXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY71_CR2,0,48,71_.jpg",96,8.5,C. Prem Kumar
23,"https://m.media-amazon.com/images/M/MV5BYjkzZWIyZTctN2U3Ny00MDZlLTkzZTYtMTI2MWI5YTFiZWZkXkEyXkFqcGdeQXVyNTM2NTg3Nzg@._V1_QL75_UY71_CR3,0,48,71_.jpg",Natsamrat,8.8,Mahesh Manjrekar
24,"https://m.media-amazon.com/images/M/MV5BNjI2Y2Q5ZGEtOGUzZS00NjY3LWE0N2UtZGQzNmFlZjFkYjA3XkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_QL75_UY71_CR2,0,48,71_.jpg",Visaaranai,8.4,Vetrimaaran
25,"https://m.media-amazon.com/images/M/MV5BM2RiZDVjYWEtZGNhYy00ZGU0LTgwZjMtZTJmNmMyNGQ5NGYyXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_QL75_UX48_CR0,0,48,71_.jpg",Drishyam 2,8.4,Jeethu Joseph
26,"https://m.media-amazon.com/images/M/MV5BZTVlNGY2YTEtNTlmYy00NzY0LWE1NWUtOGJiNTgxZGM4ZmMzXkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_QL75_UY71_CR3,0,48,71_.jpg",Kaithi,8.4,Lokesh Kanagaraj
27,"https://m.media-amazon.com/images/M/MV5BMmQwNjExNzctMGE1NC00NGU2LWEwN2ItMzljZmU4ODk5ZGRmXkEyXkFqcGdeQXVyMzA0NTI2OTM@._V1_QL75_UY71_CR1,0,48,71_.jpg",Mayabazar,9.1,Kadiri Venkata Reddy
28,"https://m.media-amazon.com/images/M/MV5BN2IyYTExNmYtMjRhNC00MWFjLTllZDAtODRlZjA0MTgyZDc0XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_QL75_UY71_CR3,0,48,71_.jpg",Nadodikkattu,8.8,Sathyan Anthikad
29,"https://m.media-amazon.com/images/M/MV5BN2MxZjkwZjMtZjZhZS00YjRkLWI4M2YtYjQzMmFiYmU3YzBmXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_QL75_UY71_CR1,0,48,71_.jpg",Thevar Magan,8.7,Bharathan
30,"https://m.media-amazon.com/images/M/MV5BZTgzNTRkYWEtYWJmOC00NjMzLWFlMWEtMWRiNmFlMjBiOTI1XkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_QL75_UY71_CR1,0,48,71_.jpg",Asuran,8.4,Vetrimaaran
31,"https://m.media-amazon.com/images/M/MV5BNzFkM2FhMzQtYjUwZi00N2Y3LWFkZWItMmZmMjQxNGQwZmNhXkEyXkFqcGdeQXVyODEyNjEwMDk@._V1_QL75_UY71_CR5,0,48,71_.jpg",Jai Bhim,8.7,T.J. Gnanavel
32,"https://m.media-amazon.com/images/M/MV5BYzIwZDlkOTEtZjI1Zi00ZGRmLWI2NDEtMjBmM2FjNGMxODEzXkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_QL75_UY71_CR2,0,48,71_.jpg",Thalapathi,8.5,Mani Ratnam
33,"https://m.media-amazon.com/images/M/MV5BN2RjZDJhYzUtOTQ5Yy00OWM3LWE5OTctM2Y0YWVmNzAzODllXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_QL75_UX48_CR0,0,48,71_.jpg",Sita Ramam,8.5,Hanu Raghavapudi
